"VERSION","FILE_NAME","LOC","LOC_TOUCHED","NUMBER_OF_REVISIONS","LOC_ADDED","AVG_LOC_ADDED","NUMBER_OF_AUTHORS","MAX_LOC_ADDED","TOTAL_LOC_REMOVED","MAX_LOC_REMOVED","AVG_LOC_TOUCHED","BUGGY"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BaseTestCase.java","1607","219","12","150","12.5","3","37","69","36","18","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieClientTest.java","1164","76","6","43","7.166666666666667","3","20","33","19","12","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieFailureTest.java","1210","68","6","34","5.666666666666667","3","24","34","24","11","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieJournalRollingTest.java","413","275","3","247","82.33333333333333","2","222","28","26","91","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieReadWriteTest.java","7080","634","10","477","47.7","3","166","157","89","63","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/BookieZKExpireTest.java","176","106","3","99","33.0","3","90","7","6","35","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/CloseTest.java","94","17","3","9","3.0","2","6","8","6","5","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConcurrentLedgerTest.java","877","40","6","25","4.166666666666667","3","9","15","6","6","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConditionalSetTest.java","183","126","3","122","40.666666666666664","2","116","4","3","42","false"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/ConfigurationTest.java","23","55","1","55","55.0","1","55","0","0","55","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerDeleteTest.java","316","37","4","14","3.5","3","8","23","13","9","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LedgerRecoveryTest.java","195","64","4","45","11.25","3","25","19","17","16","true"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/LoopbackClient.java","376","25","5","14","2.8","3","7","11","7","5","false"
"1","bookkeeper-server/src/test/java/org/apache/bookkeeper/test/NIOServerFactoryTest.java","99","13","3","8","2.6666666666666665","3","4","5","4","4","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java","28","72","1","72","72.0","1","72","0","0","72","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java","6","42","1","42","42.0","1","42","0","0","42","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java","21","64","3","56","18.666666666666668","2","48","8","5","21","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java","20","71","2","67","33.5","2","63","4","4","35","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java","66","277","2","257","128.5","2","237","20","20","138","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java","276","145","3","139","46.333333333333336","2","133","6","5","48","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkSubscriber.java","366","163","4","150","37.5","2","136","13","10","40","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java","373","185","3","181","60.333333333333336","2","176","4","2","61","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java","48","48","2","47","23.5","2","46","1","1","24","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/HedwigBenchmark.java","382","146","5","137","27.4","3","127","9","5","29","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/conf/ClientConfiguration.java","202","155","3","152","50.666666666666664","2","148","3","2","51","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/data/MessageConsumeData.java","48","60","2","59","29.5","2","58","1","1","30","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java","164","155","2","152","76.0","2","149","3","3","77","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java","82","82","2","78","39.0","2","74","4","4","41","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/InvalidSubscriberIdException.java","10","37","1","37","37.0","1","37","0","0","37","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/ServerRedirectLoopException.java","20","42","2","40","20.0","2","38","2","2","21","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/exceptions/TooManyServerRedirectsException.java","20","41","2","40","20.0","2","39","1","1","20","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java","178","118","4","107","26.75","2","95","11","5","29","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PubSubCallback.java","118","94","3","91","30.333333333333332","2","87","3","2","31","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/PublishResponseHandler.java","150","85","4","78","19.5","2","70","7","3","21","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeReconnectCallback.java","238","132","4","123","30.75","2","113","9","4","33","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/SubscribeResponseHandler.java","980","492","6","414","69.0","3","329","78","35","82","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java","182","102","4","93","23.25","2","83","9","5","25","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/netty/ClientChannelPipelineFactory.java","87","68","3","63","21.0","2","58","5","3","22","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/netty/ConnectCallback.java","250","137","4","130","32.5","2","122","7","4","34","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigClientImpl.java","186","19","1","14","14.0","1","14","5","5","19","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java","597","255","5","243","48.6","2","224","12","6","51","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigSubscriber.java","1462","704","4","645","161.25","2","585","59","48","176","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/netty/ResponseHandler.java","1007","414","5","390","78.0","2","365","24","14","82","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/netty/WriteCallback.java","198","117","4","108","27.0","2","98","9","4","29","true"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslClientContextFactory.java","17","41","1","41","41.0","1","41","0","0","41","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java","67","92","2","79","39.5","2","65","13","13","46","false"
"1","hedwig-client/src/main/java/org/apache/hedwig/conf/AbstractConfiguration.java","51","56","3","55","18.333333333333332","3","45","1","1","18","false"
