"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"BOOKKEEPER","NaiveBayes","4","NONE","NO_SAMPLING","NONE","0,33333","0,01471","0,94622","0,01902","0","1.0","2.0","546.0","67.0","72,93497"
"BOOKKEEPER","IBk","4","NONE","NO_SAMPLING","NONE","0,52174","0,35294","0,38607","0,36443","0","24.0","22.0","526.0","44.0","72,93497"
"BOOKKEEPER","RandomForest","4","BEST_FIRST","NO_SAMPLING","NONE","0,64706","0,48529","0,8476","0,50808","0","33.0","18.0","530.0","35.0","72,93497"
"BOOKKEEPER","NaiveBayes","4","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,73564","0","0","0.0","0.0","548.0","68.0","72,93497"
"BOOKKEEPER","IBk","4","BEST_FIRST","NO_SAMPLING","NONE","0,57447","0,39706","0,42958","0,41696","0","27.0","20.0","528.0","41.0","72,93497"
"BOOKKEEPER","RandomForest","4","BEST_FIRST","UNDER_SAMPLING","NONE","0,6092","0,77941","0,8684","0,63915","0","53.0","34.0","514.0","15.0","54,43787"
"BOOKKEEPER","NaiveBayes","4","BEST_FIRST","UNDER_SAMPLING","NONE","0,5","0,04412","0,94885","0,06433","0","3.0","3.0","545.0","65.0","54,43787"
"BOOKKEEPER","IBk","4","BEST_FIRST","UNDER_SAMPLING","NONE","0,6","0,70588","0,71179","0,60104","0","48.0","32.0","516.0","20.0","54,43787"
"BOOKKEEPER","RandomForest","4","BEST_FIRST","OVER_SAMPLING","NONE","0,61333","0,67647","0,84502","0,59665","0","46.0","29.0","519.0","22.0","80,75"
"BOOKKEEPER","NaiveBayes","4","BEST_FIRST","OVER_SAMPLING","NONE","0,4","0,02941","0,94605","0,04028","0","2.0","3.0","545.0","66.0","80,75"
"BOOKKEEPER","IBk","4","BEST_FIRST","OVER_SAMPLING","NONE","0,5283","0,41176","0,43676","0,4053","0","28.0","25.0","523.0","40.0","80,75"
"BOOKKEEPER","RandomForest","4","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,87425","-0,00321","0","0.0","1.0","547.0","68.0","72,93497"
"BOOKKEEPER","NaiveBayes","4","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,73564","0","0","0.0","0.0","548.0","68.0","72,93497"
"BOOKKEEPER","IBk","4","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,56522","0,38235","0,42958","0,40295","0","26.0","20.0","528.0","42.0","72,93497"
"BOOKKEEPER","RandomForest","5","NONE","NO_SAMPLING","NONE","0,2","0,61111","0,93444","0,27114","0","11.0","44.0","592.0","7.0","77,67918"
"BOOKKEEPER","NaiveBayes","5","NONE","NO_SAMPLING","NONE","0","0","0,9575","-0,01211","0","0.0","5.0","631.0","18.0","77,67918"
"BOOKKEEPER","IBk","5","NONE","NO_SAMPLING","NONE","0,17391","0,44444","0,47676","0,2191","0","8.0","38.0","598.0","10.0","77,67918"
"BOOKKEEPER","RandomForest","5","BEST_FIRST","NO_SAMPLING","NONE","0,16071","0,5","0,92876","0,21035","0","9.0","47.0","589.0","9.0","77,67918"
"BOOKKEEPER","NaiveBayes","5","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,78184","-0,00793","0","0.0","3.0","633.0","18.0","77,67918"
"BOOKKEEPER","IBk","5","BEST_FIRST","NO_SAMPLING","NONE","0,19355","0,66667","0,66457","0,26881","0","12.0","50.0","586.0","6.0","77,67918"
"BOOKKEEPER","RandomForest","5","BEST_FIRST","UNDER_SAMPLING","NONE","0,15044","0,94444","0,91239","0,22263","0","17.0","96.0","540.0","1.0","57,14286"
"BOOKKEEPER","NaiveBayes","5","BEST_FIRST","UNDER_SAMPLING","NONE","0,45455","0,27778","0,9534","0,33086","0","5.0","6.0","630.0","13.0","57,14286"
"BOOKKEEPER","IBk","5","BEST_FIRST","UNDER_SAMPLING","NONE","0,14706","0,83333","0,78223","0,21319","0","15.0","87.0","549.0","3.0","57,14286"
"BOOKKEEPER","RandomForest","5","BEST_FIRST","OVER_SAMPLING","NONE","0,13953","0,66667","0,91828","0,19409","0","12.0","74.0","562.0","6.0","84,91001"
"BOOKKEEPER","NaiveBayes","5","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,95528","-0,01395","0","0.0","6.0","630.0","18.0","84,91001"
"BOOKKEEPER","IBk","5","BEST_FIRST","OVER_SAMPLING","NONE","0,15625","0,55556","0,5542","0,20996","0","10.0","54.0","582.0","8.0","84,91001"
"BOOKKEEPER","RandomForest","5","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,9309","-0,00291","0","0.0","1.0","635.0","18.0","77,67918"
"BOOKKEEPER","NaiveBayes","5","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,78184","-0,00793","0","0.0","3.0","633.0","18.0","77,67918"
"BOOKKEEPER","IBk","5","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,2069","0,66667","0,66457","0,28579","0","12.0","46.0","590.0","6.0","77,67918"
