"VERSION","FILE_NAME","LOC","LOC_TOUCHED","NUMBER_OF_REVISIONS","LOC_ADDED","AVG_LOC_ADDED","NUMBER_OF_AUTHORS","MAX_LOC_ADDED","TOTAL_LOC_REMOVED","MAX_LOC_REMOVED","AVG_LOC_TOUCHED","BUGGY"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/role/RAttrUniqueValue.java","86","78","2","75","37.5","2","69","3","3","39","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/role/RAttrValue.java","63","59","2","58","29.0","2","55","1","1","29","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/role/RDerAttr.java","68","69","2","66","33.0","2","59","3","3","34","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/role/RDerSchema.java","7","29","1","29","29.0","1","29","0","0","29","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/role/RSchema.java","8","28","1","28","28.0","1","28","0","0","28","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/role/RVirAttr.java","80","75","2","72","36.0","2","66","3","3","37","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/role/RVirSchema.java","9","31","1","31","31.0","1","31","0","0","31","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/role/SyncopeRole.java","589","464","2","442","221.0","2","416","22","22","232","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/SyncopeUser.java","1663","637","4","605","151.25","3","544","32","23","159","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttr.java","189","173","2","165","82.5","2","150","8","8","86","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttrUniqueValue.java","86","78","2","75","37.5","2","69","3","3","39","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/UAttrValue.java","63","59","2","58","29.0","2","55","1","1","29","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/UDerAttr.java","68","69","2","66","33.0","2","59","3","3","34","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/UDerSchema.java","9","31","1","31","31.0","1","31","0","0","31","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/USchema.java","11","32","1","32","32.0","1","32","0","0","32","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/UVirAttr.java","86","78","2","75","37.5","2","69","3","3","39","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/beans/user/UVirSchema.java","11","32","1","32","32.0","1","32","0","0","32","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/dao/AttrDAO.java","11","36","1","36","36.0","1","36","0","0","36","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/dao/AttrValueDAO.java","11","36","1","36","36.0","1","36","0","0","36","false"
"1","core/src/main/java/org/apache/syncope/core/persistence/dao/ConfDAO.java","11","36","1","36","36.0","1","36","0","0","36","false"
