"PROJ","CLASSIFIER","ITERATION","FEATURE_SELECTION","SAMPLING","COST_SENSITIVE","PRECISION","RECALL","AUC","KAPPA","NPOFB","TP","FP","TN","FN","%_OF_TRAINING"
"SYNCOPE","IBk","5","BEST_FIRST","OVER_SAMPLING","NONE","0,30769","0,02469","0,50797","0,01856","0,38125","4.0","9.0","699.0","158.0","81,66491"
"SYNCOPE","RandomForest","5","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,375","0,01852","0,42367","0,01809","0,55","3.0","5.0","703.0","159.0","81,66491"
"SYNCOPE","NaiveBayes","5","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,5","0,00617","0,73172","0,00769","0,55975","1.0","1.0","707.0","161.0","81,66491"
"SYNCOPE","IBk","5","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,375","0,01852","0,53166","0,01809","0,4","3.0","5.0","703.0","159.0","81,66491"
"SYNCOPE","RandomForest","6","NONE","NO_SAMPLING","NONE","0,42857","0,05085","0,58102","0,05831","0,3956","6.0","8.0","597.0","112.0","86,77762"
"SYNCOPE","NaiveBayes","6","NONE","NO_SAMPLING","NONE","0,37255","0,16102","0,58744","0,14015","0,58242","19.0","32.0","573.0","99.0","86,77762"
"SYNCOPE","IBk","6","NONE","NO_SAMPLING","NONE","0,27273","0,12712","0,44733","0,0777","0,45055","15.0","40.0","565.0","103.0","86,77762"
"SYNCOPE","RandomForest","6","BEST_FIRST","NO_SAMPLING","NONE","0,4","0,0678","0,56703","0,07204","0,37363","8.0","12.0","593.0","110.0","86,77762"
"SYNCOPE","NaiveBayes","6","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,56841","0","0,58242","0.0","0.0","605.0","118.0","86,77762"
"SYNCOPE","IBk","6","BEST_FIRST","NO_SAMPLING","NONE","0,29787","0,11864","0,45219","0,08458","0,2967","14.0","33.0","572.0","104.0","86,77762"
"SYNCOPE","RandomForest","6","BEST_FIRST","UNDER_SAMPLING","NONE","0,23985","0,55085","0,6211","0,13822","0,56522","65.0","206.0","399.0","53.0","86,77762"
"SYNCOPE","NaiveBayes","6","BEST_FIRST","UNDER_SAMPLING","NONE","0,45161","0,11864","0,62855","0,12875","0,59341","14.0","17.0","588.0","104.0","86,77762"
"SYNCOPE","IBk","6","BEST_FIRST","UNDER_SAMPLING","NONE","0,22745","0,49153","0,54781","0,11307","0,43956","58.0","197.0","408.0","60.0","86,77762"
"SYNCOPE","RandomForest","6","BEST_FIRST","OVER_SAMPLING","NONE","0,28125","0,15254","0,53138","0,09378","0,41758","18.0","46.0","559.0","100.0","86,77762"
"SYNCOPE","NaiveBayes","6","BEST_FIRST","OVER_SAMPLING","NONE","0,15395","0,92373","0,53937","-0,02203","0,58242","109.0","599.0","6.0","9.0","86,77762"
"SYNCOPE","IBk","6","BEST_FIRST","OVER_SAMPLING","NONE","0,26154","0,14407","0,43975","0,07901","0,16484","17.0","48.0","557.0","101.0","86,77762"
"SYNCOPE","RandomForest","6","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,31579","0,15254","0,56076","0,11122","0,36957","18.0","39.0","566.0","100.0","86,77762"
"SYNCOPE","NaiveBayes","6","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,56841","0","0,58242","0.0","0.0","605.0","118.0","86,77762"
"SYNCOPE","IBk","6","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,26923","0,11864","0,45219","0,07205","0,2967","14.0","38.0","567.0","104.0","86,77762"
"SYNCOPE","RandomForest","7","NONE","NO_SAMPLING","NONE","0,44444","0,06349","0,64834","0,09151","0,46667","4.0","5.0","662.0","59.0","88,22201"
"SYNCOPE","NaiveBayes","7","NONE","NO_SAMPLING","NONE","0,41667","0,07937","0,6412","0,10872","0,46667","5.0","7.0","660.0","58.0","88,22201"
"SYNCOPE","IBk","7","NONE","NO_SAMPLING","NONE","0,33333","0,09524","0,44109","0,11417","0,17241","6.0","12.0","655.0","57.0","88,22201"
"SYNCOPE","RandomForest","7","BEST_FIRST","NO_SAMPLING","NONE","0,33333","0,09524","0,66663","0,11417","0,36667","6.0","12.0","655.0","57.0","88,22201"
"SYNCOPE","NaiveBayes","7","BEST_FIRST","NO_SAMPLING","NONE","1","0,01587","0,64419","0,02863","0,5","1.0","0.0","667.0","62.0","88,22201"
"SYNCOPE","IBk","7","BEST_FIRST","NO_SAMPLING","NONE","0,32","0,12698","0,46383","0,13963","0,24138","8.0","17.0","650.0","55.0","88,22201"
"SYNCOPE","RandomForest","7","BEST_FIRST","UNDER_SAMPLING","NONE","0,22689","0,42857","0,66023","0,20724","0,46667","27.0","92.0","575.0","36.0","88,22201"
"SYNCOPE","NaiveBayes","7","BEST_FIRST","UNDER_SAMPLING","NONE","0,6","0,04762","0,49099","0,07651","0,51724","3.0","2.0","665.0","60.0","88,22201"
"SYNCOPE","IBk","7","BEST_FIRST","UNDER_SAMPLING","NONE","0,20388","0,33333","0,57303","0,16342","0,4","21.0","82.0","585.0","42.0","88,22201"
"SYNCOPE","RandomForest","7","BEST_FIRST","OVER_SAMPLING","NONE","0,30769","0,19048","0,53489","0,18126","0,41379","12.0","27.0","640.0","51.0","88,22201"
"SYNCOPE","NaiveBayes","7","BEST_FIRST","OVER_SAMPLING","NONE","0,08575","0,98413","0,64444","-0,0012","0,5","62.0","661.0","6.0","1.0","88,22201"
"SYNCOPE","IBk","7","BEST_FIRST","OVER_SAMPLING","NONE","0,25641","0,15873","0,47848","0,13927","0,24138","10.0","29.0","638.0","53.0","88,22201"
"SYNCOPE","RandomForest","7","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,33333","0,14286","0,61724","0,15631","0,41379","9.0","18.0","649.0","54.0","88,22201"
"SYNCOPE","NaiveBayes","7","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,75","0,04762","0,64419","0,08007","0,5","3.0","1.0","666.0","60.0","88,22201"
"SYNCOPE","IBk","7","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,32","0,12698","0,46383","0,13963","0,24138","8.0","17.0","650.0","55.0","88,22201"
"SYNCOPE","RandomForest","8","NONE","NO_SAMPLING","NONE","0","0","0,5536","-0,00794","0,18182","0.0","3.0","645.0","89.0","89,37275"
"SYNCOPE","NaiveBayes","8","NONE","NO_SAMPLING","NONE","0","0","0,21404","0","0,21591","0.0","0.0","648.0","89.0","89,37275"
"SYNCOPE","IBk","8","NONE","NO_SAMPLING","NONE","0,07143","0,01124","0,56752","-0,01387","0,23864","1.0","13.0","635.0","88.0","89,37275"
"SYNCOPE","RandomForest","8","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,57732","-0,01301","0,21348","0.0","5.0","643.0","89.0","89,37275"
"SYNCOPE","NaiveBayes","8","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,32048","0","0,20225","0.0","0.0","648.0","89.0","89,37275"
"SYNCOPE","IBk","8","BEST_FIRST","NO_SAMPLING","NONE","0,06667","0,01124","0,57081","-0,01617","0,20455","1.0","14.0","634.0","88.0","89,37275"
"SYNCOPE","RandomForest","8","BEST_FIRST","UNDER_SAMPLING","NONE","0,10059","0,19101","0,57296","-0,03139","0,23596","17.0","152.0","496.0","72.0","89,37275"
"SYNCOPE","NaiveBayes","8","BEST_FIRST","UNDER_SAMPLING","NONE","0,25","0,01124","0,35699","0,01123","0,19101","1.0","3.0","645.0","88.0","89,37275"
"SYNCOPE","IBk","8","BEST_FIRST","UNDER_SAMPLING","NONE","0,11667","0,23596","0,5131","-0,00653","0,20455","21.0","159.0","489.0","68.0","89,37275"
"SYNCOPE","RandomForest","8","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,56331","-0,03609","0,16854","0.0","15.0","633.0","89.0","89,37275"
"SYNCOPE","NaiveBayes","8","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,31427","-0,00269","0,19318","0.0","1.0","647.0","89.0","89,37275"
"SYNCOPE","IBk","8","BEST_FIRST","OVER_SAMPLING","NONE","0,04762","0,01124","0,50174","-0,02928","0,19101","1.0","20.0","628.0","88.0","89,37275"
"SYNCOPE","RandomForest","8","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,59998","-0,04235","0,22472","0.0","18.0","630.0","89.0","89,37275"
"SYNCOPE","NaiveBayes","8","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0","0","0,32048","0","0,21348","0.0","0.0","648.0","89.0","89,37275"
"SYNCOPE","IBk","8","BEST_FIRST","NO_SAMPLING","SENSITIVE_LEARNING","0,05556","0,01124","0,57081","-0,02287","0,20455","1.0","17.0","631.0","88.0","89,37275"
"SYNCOPE","RandomForest","9","NONE","NO_SAMPLING","NONE","0","0","0,51903","0","0","0.0","0.0","654.0","82.0","90,40542"
"SYNCOPE","NaiveBayes","9","NONE","NO_SAMPLING","NONE","0","0","0,53938","0","0,125","0.0","0.0","654.0","82.0","90,40542"
"SYNCOPE","IBk","9","NONE","NO_SAMPLING","NONE","0,33333","0,0122","0,47039","0,01579","0,25","1.0","2.0","652.0","81.0","90,40542"
"SYNCOPE","RandomForest","9","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,53401","-0,00269","0","0.0","1.0","653.0","82.0","90,40542"
"SYNCOPE","NaiveBayes","9","BEST_FIRST","NO_SAMPLING","NONE","0","0","0,53728","0","0,125","0.0","0.0","654.0","82.0","90,40542"
"SYNCOPE","IBk","9","BEST_FIRST","NO_SAMPLING","NONE","0,5","0,0122","0,47174","0,0186","0,14286","1.0","1.0","653.0","81.0","90,40542"
"SYNCOPE","RandomForest","9","BEST_FIRST","UNDER_SAMPLING","NONE","0,42857","0,07317","0,52985","0,09561","0,14286","6.0","8.0","646.0","76.0","90,40542"
"SYNCOPE","NaiveBayes","9","BEST_FIRST","UNDER_SAMPLING","NONE","0","0","0,54136","-0,00269","0,28571","0.0","1.0","653.0","82.0","90,40542"
"SYNCOPE","IBk","9","BEST_FIRST","UNDER_SAMPLING","NONE","0,38462","0,06098","0,50989","0,07712","0,14286","5.0","8.0","646.0","77.0","90,40542"
"SYNCOPE","RandomForest","9","BEST_FIRST","OVER_SAMPLING","NONE","0,4","0,02439","0,50358","0,0336","0,125","2.0","3.0","651.0","80.0","90,40542"
"SYNCOPE","NaiveBayes","9","BEST_FIRST","OVER_SAMPLING","NONE","0","0","0,53728","0","0,125","0.0","0.0","654.0","82.0","90,40542"
